case_name,complaint_description,suggested_labels,suggested_workflow,cluster_id
CASE-00060: Industrial pollution affecting residents,"Factory near Sathya Nagar releasing thick smoke at night, residents reporting breathing difficulty and eye irritation.",Environment / Pollution Control,priority_flag_where_safety_relevant -> pattern_check -> escalate_if_repeat_or_confirmed,
CASE-00061: Park complaint (rephrased),"The community park in Lake View Road has been left unmaintained — broken play equipment, tall grass, not cleaned in 9 days.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-00062: Water Tanker complaint (rephrased),Requesting urgent attention: no municipal water tanker has visited Station Road in 4 days despite the fixed schedule.,Water Supply / Sanitation + Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-00063: Streetlight complaint,"Streetlight near Canal Bank Road has been off for 22 days, the road is very dark at night.",Electricity Board + Roads & PWD,standard_route -> assign_L1 -> SLA_days,
CASE-00064: Land mutation delay,Land mutation entry after property purchase in Old Market Road pending for 84 days at the Tehsildar office.,Revenue Department / Land Records,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-00065: Distress signal buried in medical bill dispute (rephrased),The Block A colony hospital won't adjust the bill for my mother's treatment and I truly don't see any way through this financially.,Health Department / Hospital,wellbeing_risk_flag(separate_from_topic_classification) -> route_to_trained_human_followup -> do_not_close_with_bureaucratic_update_only,
CASE-00066: Bus Delay complaint (rephrased),Commuters from Hospital Road report the morning bus service running 4 minutes behind schedule almost daily.,Transport / RTO,standard_route -> assign_L1 -> SLA_days,
CASE-00067: Garbage complaint,Garbage truck has skipped Sector 12 for 3 collection cycles in a row now.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-00068: Park complaint (rephrased),"The community park in Old Ferry Road has been left unmaintained — broken play equipment, tall grass, not cleaned in 15 days.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-00069: Toilet complaint,Public toilet block in Gandhi Nagar has no water supply and is unhygienic.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-00070: Illegal construction on public land (rephrased),"Construction has begun on encroached municipal land in Medavakkam, with no permit board displayed anywhere on site.",Housing & Urban Development,priority_flag_where_safety_relevant -> pattern_check -> escalate_if_repeat_or_confirmed,
CASE-00071: Power Cut complaint,"Frequent unscheduled power cuts in Indira Nagar, sometimes 2 times a day.",Electricity Board + Roads & PWD,standard_route -> assign_L1 -> SLA_days,
CASE-00072: Streetlight complaint (rephrased),"Streetlight complaint (formal follow-up): requesting repair of the non-functional pole light on Airport Road junction, non-functional for approximately 6 days now, causing safety concerns for evening commuters.",Electricity Board + Roads & PWD,standard_route -> assign_L1 -> SLA_days,
CASE-00073: Stray Dogs complaint (rephrased),"Residents of Canal Bank Road are increasingly worried about an aggressive stray dog pack near the local park, request sterilization drive.",Animal Husbandry / Municipal (Strays),standard_route -> assign_L1 -> SLA_days,
CASE-00074: Coordinated near-identical complaints (rephrased),"Just before the transport policy hearing, 30 complaints with almost the same wording about the new bus route arrived within 90 minutes.",Transport / RTO,coordination_or_repetition_pattern_detect -> merge_or_flag -> human_review,
CASE-00075: Ration card correction,"Requested correction on ration card (address change) for Medavakkam household filed 27 days ago, still not processed.",Public Distribution System (Ration),standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-00076: Threat via social media escalation,"Warned the municipal engineer in Guindy that if the issue isn't fixed, they should be 'ready for what's coming' after I post about them online.",Multiple Departments (Split Required) + Police Department,threat_flag -> human_review_or_security_escalation -> independent_of_underlying_issue_severity,
CASE-00077: Power Cut complaint (rephrased),"Electricity supply to College Road has been unreliable, with 6 unscheduled outages recorded this week alone.",Electricity Board + Roads & PWD,standard_route -> assign_L1 -> SLA_days,
CASE-00078: Threat during public hearing (rephrased),"During the Vadapalani grievance hearing, the clerk was told in front of others that 'people who ignore us end up regretting it'.",Multiple Departments (Split Required) + Police Department,threat_flag -> human_review_or_security_escalation -> independent_of_underlying_issue_severity,
CASE-00079: Garbage complaint (rephrased),"Waste not collected in Industrial Estate Road — this is the 3th missed pickup, bins are overflowing and attracting stray animals.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-00080: Women's safety near transit stop (rephrased),Women commuting near the Perambur bus stop after dark have repeatedly reported harassment incidents.,Police Department + Women & Child Welfare,priority_flag_where_safety_relevant -> pattern_check -> escalate_if_repeat_or_confirmed,
CASE-00081: Land mutation delay,Land mutation entry after property purchase in Market Yard area pending for 89 days at the Tehsildar office.,Revenue Department / Land Records,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-00082: Noise complaint (rephrased),"A function in Pallavaram is running loudspeakers well past the permitted night-time cutoff, disturbing residents.",Police Department,standard_route -> assign_L1 -> SLA_days,
CASE-00083: EPF withdrawal stuck (rephrased),"My EPF withdrawal claim, filed 38 days ago, is still unprocessed even after two reminder submissions.",Pension / EPFO,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-00084: Garbage complaint (rephrased),"Waste not collected in Thiruvanmiyur — this is the 6th missed pickup, bins are overflowing and attracting stray animals.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-00085: Repeated informal demand (rephrased),This is not the first time — the sub-inspector at Bharathi Nagar has again asked for around Rs 25000 unofficially before processing my request.,Water Supply / Sanitation + Vigilance / Anti-Corruption Bureau,corruption_flag -> reroute_away_from_named_office -> vigilance_channel -> protect_complainant_identity,
CASE-00086: Repeated informal demand (rephrased),This is not the first time — the revenue inspector at Gandhi Nagar has again asked for around Rs 12000 unofficially before processing my request.,Water Supply / Sanitation + Vigilance / Anti-Corruption Bureau,corruption_flag -> reroute_away_from_named_office -> vigilance_channel -> protect_complainant_identity,
CASE-00087: Streetlight complaint,"Streetlight near Indira Nagar has been off for 24 days, the road is very dark at night.",Electricity Board,standard_route -> assign_L1 -> SLA_days,
CASE-00088: Power Cut complaint,"Frequent unscheduled power cuts in Nehru Colony, sometimes 2 times a day.",Electricity Board,standard_route -> assign_L1 -> SLA_days,
CASE-00089: Bus Delay complaint (rephrased),Commuters from Triplicane report the morning bus service running 5 minutes behind schedule almost daily.,Transport / RTO,standard_route -> assign_L1 -> SLA_days,
CASE-00090: Parking complaint (rephrased),"Footpaths near Block D colony market are constantly obstructed by illegally parked vehicles, pedestrians forced onto the road.",Police Department / Transport,standard_route -> assign_L1 -> SLA_days,
CASE-00091: Parking complaint (rephrased),"Footpaths near Nungambakkam market are constantly obstructed by illegally parked vehicles, pedestrians forced onto the road.",Police Department / Transport,standard_route -> assign_L1 -> SLA_days,
CASE-00092: Child labor reported at a shop (rephrased),A child who appears to be out of school is reportedly working long hours at a shop in Riverside Layout.,Women & Child Welfare + Police Department,priority_flag_where_safety_relevant -> pattern_check -> escalate_if_repeat_or_confirmed,
CASE-00093: Streetlight complaint (rephrased),"Streetlight complaint (formal follow-up): requesting repair of the non-functional pole light on Airport Road junction, non-functional for approximately 4 days now, causing safety concerns for evening commuters.",Electricity Board,standard_route -> assign_L1 -> SLA_days,
CASE-00094: Garbage complaint,Garbage truck has skipped Nehru Colony for 6 collection cycles in a row now.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-00095: Passport verification delay,Police verification for passport renewal pending 42 days with no field visit yet.,Police Department,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-00096: Bus Delay complaint,Bus route serving Station Road is consistently 8 minutes late on weekday mornings.,Transport / RTO,standard_route -> assign_L1 -> SLA_days,
CASE-00097: Park complaint (rephrased),"The community park in Lakshmi Nagar has been left unmaintained — broken play equipment, tall grass, not cleaned in 21 days.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-00098: Water Tanker complaint,"Scheduled water tanker did not come to East Coast Road side lane on the assigned day, 19 days without supply now.",Water Supply / Sanitation + Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-00099: Streetlight complaint,"Streetlight near Vivekananda Street has been off for 3 days, the road is very dark at night.",Electricity Board,standard_route -> assign_L1 -> SLA_days,
CASE-00100: Ambiguous jurisdiction overlap,Pothole in Shastri Nagar appears to be caused by a burst water pipe underneath the road surface.,Roads & PWD + Water Supply / Sanitation,structural_handling(split_or_reopen_or_sarcasm_check) -> human_review_where_ambiguous,
CASE-00101: Parking complaint (rephrased),"Footpaths near Riverside Layout market are constantly obstructed by illegally parked vehicles, pedestrians forced onto the road.",Police Department / Transport,standard_route -> assign_L1 -> SLA_days,
CASE-00102: Scholarship delay,"Government scholarship approved but not disbursed for 101 days, student needs it for fee payment.",Education Department,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-00103: Power Cut complaint (rephrased),"Electricity supply to North Usman Road has been unreliable, with 2 unscheduled outages recorded this week alone.",Electricity Board,standard_route -> assign_L1 -> SLA_days,
CASE-00104: Pesticide spraying near school,"Farm adjacent to the school in North Usman Road sprays pesticide during school hours, children reporting coughing and irritation.",Environment / Pollution Control + Education Department,priority_flag_where_safety_relevant -> pattern_check -> escalate_if_repeat_or_confirmed,
CASE-00105: Direct threat to official,"If my water connection isn't restored by tomorrow in Model Colony, I know where the ward officer lives, and I won't be responsible for what happens.",Water Supply / Sanitation + Police Department,threat_flag -> human_review_or_security_escalation -> independent_of_underlying_issue_severity,
CASE-00106: Garbage complaint (rephrased),"Waste not collected in Subhash Nagar — this is the 5th missed pickup, bins are overflowing and attracting stray animals.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-00107: Ambiguous jurisdiction overlap (rephrased),"The road damage near Periyar Nagar looks like it's from a leaking water pipe below the surface, not sure which department should fix it.",Roads & PWD + Water Supply / Sanitation,structural_handling(split_or_reopen_or_sarcasm_check) -> human_review_where_ambiguous,
CASE-00108: Streetlight complaint (rephrased),"Streetlight complaint (formal follow-up): requesting repair of the non-functional pole light on College Road, non-functional for approximately 20 days now, causing safety concerns for evening commuters.",Electricity Board + Roads & PWD,standard_route -> assign_L1 -> SLA_days,
CASE-00109: Ration card correction,"Requested correction on ration card (address change) for Pallavaram household filed 77 days ago, still not processed.",Public Distribution System (Ration),standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-00110: Streetlight complaint (rephrased),"Streetlight complaint (formal follow-up): requesting repair of the non-functional pole light on Main Bazaar Road, non-functional for approximately 19 days now, causing safety concerns for evening commuters.",Electricity Board,standard_route -> assign_L1 -> SLA_days,
CASE-00111: Garbage complaint (rephrased),"Waste not collected in Kamaraj Road — this is the 8th missed pickup, bins are overflowing and attracting stray animals.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-00112: Streetlight complaint,"Streetlight near Koyambedu has been off for 20 days, the road is very dark at night.",Electricity Board + Roads & PWD,standard_route -> assign_L1 -> SLA_days,
"CASE-00113: Ambulance non-response, critical delay (rephrased)",An elderly patient's condition worsened in Canal Bank Road after the ambulance helpline failed to respond for 35 minutes.,Health Department / Hospital + Fire & Emergency Services,fatality_or_injury_review_tier(not_standard_SLA) -> check_pattern_memory_same_location -> systemic_emergency_response_audit,
CASE-00114: Rival business defamation pattern (rephrased),"A recurring pattern: every year before festival season, a shop near Krishna Colony gets an 'unsanitary conditions' complaint from the same filer targeting a rival business.",Municipal Corporation - Sanitation,coordination_or_repetition_pattern_detect -> merge_or_flag -> human_review,
CASE-00115: Garbage complaint,Garbage truck has skipped Block D colony for 2 collection cycles in a row now.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-00116: Drain complaint,Drain near Hospital Road is clogged and overflowing onto the street after light rain.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-00117: Pesticide spraying near school,"Farm adjacent to the school in Indira Nagar sprays pesticide during school hours, children reporting coughing and irritation.",Environment / Pollution Control + Education Department,priority_flag_where_safety_relevant -> pattern_check -> escalate_if_repeat_or_confirmed,
CASE-00118: Suspicious identical wording (rephrased),"Several accounts filed complaints against the same Sector 9 shopkeeper using identical wording, all on the same day.",Municipal Corporation - Sanitation,coordination_or_repetition_pattern_detect -> merge_or_flag -> human_review,
CASE-00119: Water Tanker complaint,"Scheduled water tanker did not come to Periyar Nagar on the assigned day, 15 days without supply now.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-00120: Scholarship delay (rephrased),"My scholarship was approved 91 days ago but the amount has still not reached my account, fee deadline is close.",Education Department,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-00121: Distress signal buried in pension grievance,"I've been trying to get my pension released for 9 months, going office to office in Vivekananda Street, no one helps. I genuinely don't know how much longer I can keep doing this.",Pension / EPFO,wellbeing_risk_flag(separate_from_topic_classification) -> route_to_trained_human_followup -> do_not_close_with_bureaucratic_update_only,
CASE-00122: Ration card correction (rephrased),My ration card address-update request from Airport Road junction has been sitting unprocessed for 60 days now.,Public Distribution System (Ration),standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-00123: Garbage complaint (rephrased),"Waste not collected in Ward 12 — this is the 2th missed pickup, bins are overflowing and attracting stray animals.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-00124: Garbage complaint,Garbage truck has skipped Canal Bank Road for 5 collection cycles in a row now.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-00125: Ration card correction (rephrased),My ration card address-update request from Vivekananda Street has been sitting unprocessed for 103 days now.,Public Distribution System (Ration),standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-00126: Park complaint (rephrased),"The community park in Nungambakkam has been left unmaintained — broken play equipment, tall grass, not cleaned in 10 days.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-00127: Park complaint,Children's park in Saidapet has broken swings and overgrown grass for over 7 days.,Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-00128: Bus Delay complaint,Bus route serving Ring Road junction is consistently 5 minutes late on weekday mornings.,Transport / RTO,standard_route -> assign_L1 -> SLA_days,
CASE-00129: Streetlight complaint (rephrased),"Streetlight complaint (formal follow-up): requesting repair of the non-functional pole light on East Coast Road side lane, non-functional for approximately 16 days now, causing safety concerns for evening commuters.",Electricity Board,standard_route -> assign_L1 -> SLA_days,
CASE-00130: Bribe for faster pension disbursal,The PDS shop dealer hinted that a payment of Rs 500 would 'speed up' pension verification for an elderly applicant in Krishna Colony.,Pension / EPFO + Vigilance / Anti-Corruption Bureau,corruption_flag -> reroute_away_from_named_office -> vigilance_channel -> protect_complainant_identity,
CASE-00131: Park complaint (rephrased),"The community park in Station Road has been left unmaintained — broken play equipment, tall grass, not cleaned in 21 days.",Municipal Corporation - Sanitation,standard_route -> assign_L1 -> SLA_days,
CASE-00132: Certificate delay,"Applied for an income certificate 40 days ago for admission purposes, still not issued.",Revenue Department / Land Records,standard_route -> assign_L1 -> escalate_if_beyond_SLA,
CASE-00133: Direct bribe solicitation,"The revenue inspector in Royapettah office said my file 'will move faster' if I pay Rs 10000 in cash, unofficially.",Revenue Department / Land Records + Vigilance / Anti-Corruption Bureau,corruption_flag -> reroute_away_from_named_office -> vigilance_channel -> protect_complainant_identity,
CASE-00134: Pesticide spraying near school (rephrased),Children at the Periyar Nagar school report coughing and irritation from pesticide spraying on the adjacent farm during class hours.,Environment / Pollution Control + Education Department,priority_flag_where_safety_relevant -> pattern_check -> escalate_if_repeat_or_confirmed,
